iCase,Fr,beta,Cd,alpha_simple,alpha_SRH_2D,bConverged_simple,bConverged_SRH_2D
0.00,0.05,0.05,0.00,0.05,0.05,1.00,1.00
1.00,0.05,0.05,8.89,0.14,0.11,1.00,1.00
2.00,0.05,0.05,17.78,0.19,0.14,1.00,1.00
3.00,0.05,0.05,26.67,0.22,0.17,1.00,1.00
4.00,0.05,0.05,35.56,0.24,0.18,1.00,1.00
5.00,0.05,0.05,44.44,0.26,0.20,1.00,1.00
6.00,0.05,0.05,53.33,0.28,0.21,1.00,1.00
7.00,0.05,0.05,62.22,0.29,0.22,1.00,1.00
8.00,0.05,0.05,71.11,0.31,0.23,1.00,1.00
9.00,0.05,0.05,80.00,0.32,0.24,1.00,1.00
10.00,0.05,0.15,0.00,0.15,0.15,1.00,1.00
11.00,0.05,0.15,8.89,0.36,0.30,1.00,1.00
12.00,0.05,0.15,17.78,0.43,0.36,1.00,1.00
13.00,0.05,0.15,26.67,0.48,0.40,1.00,1.00
14.00,0.05,0.15,35.56,0.52,0.43,1.00,1.00
15.00,0.05,0.15,44.44,0.54,0.46,1.00,1.00
16.00,0.05,0.15,53.33,0.56,0.48,1.00,1.00
17.00,0.05,0.15,62.22,0.58,0.49,1.00,1.00
18.00,0.05,0.15,71.11,0.60,0.51,1.00,1.00
19.00,0.05,0.15,80.00,0.61,0.52,1.00,1.00
20.00,0.05,0.25,0.00,0.25,0.25,1.00,1.00
21.00,0.05,0.25,8.89,0.51,0.44,1.00,1.00
22.00,0.05,0.25,17.78,0.59,0.52,1.00,1.00
23.00,0.05,0.25,26.67,0.64,0.56,1.00,1.00
24.00,0.05,0.25,35.56,0.67,0.59,1.00,1.00
25.00,0.05,0.25,44.44,0.69,0.61,1.00,1.00
26.00,0.05,0.25,53.33,0.71,0.63,1.00,1.00
27.00,0.05,0.25,62.22,0.73,0.65,1.00,1.00
28.00,0.05,0.25,71.11,0.74,0.66,1.00,1.00
29.00,0.05,0.25,80.00,0.75,0.67,1.00,1.00
30.00,0.05,0.35,0.00,0.35,0.35,1.00,1.00
31.00,0.05,0.35,8.89,0.63,0.57,1.00,1.00
32.00,0.05,0.35,17.78,0.70,0.63,1.00,1.00
33.00,0.05,0.35,26.67,0.74,0.67,1.00,1.00
34.00,0.05,0.35,35.56,0.76,0.70,1.00,1.00
35.00,0.05,0.35,44.44,0.78,0.72,1.00,1.00
36.00,0.05,0.35,53.33,0.80,0.74,1.00,1.00
37.00,0.05,0.35,62.22,0.81,0.75,1.00,1.00
38.00,0.05,0.35,71.11,0.82,0.76,1.00,1.00
39.00,0.05,0.35,80.00,0.83,0.77,1.00,1.00
40.00,0.05,0.45,0.00,0.45,0.45,1.00,1.00
41.00,0.05,0.45,8.89,0.72,0.67,1.00,1.00
42.00,0.05,0.45,17.78,0.78,0.73,1.00,1.00
43.00,0.05,0.45,26.67,0.81,0.76,1.00,1.00
44.00,0.05,0.45,35.56,0.83,0.78,1.00,1.00
45.00,0.05,0.45,44.44,0.85,0.80,1.00,1.00
46.00,0.05,0.45,53.33,0.86,0.81,1.00,1.00
47.00,0.05,0.45,62.22,0.87,0.82,1.00,1.00
48.00,0.05,0.45,71.11,0.87,0.83,1.00,1.00
49.00,0.05,0.45,80.00,0.88,0.84,1.00,1.00
50.00,0.05,0.55,0.00,0.55,0.55,1.00,1.00
51.00,0.05,0.55,8.89,0.79,0.75,1.00,1.00
52.00,0.05,0.55,17.78,0.84,0.80,1.00,1.00
53.00,0.05,0.55,26.67,0.87,0.83,1.00,1.00
54.00,0.05,0.55,35.56,0.88,0.85,1.00,1.00
55.00,0.05,0.55,44.44,0.89,0.86,1.00,1.00
56.00,0.05,0.55,53.33,0.90,0.87,1.00,1.00
57.00,0.05,0.55,62.22,0.91,0.88,1.00,1.00
58.00,0.05,0.55,71.11,0.91,0.88,1.00,1.00
59.00,0.05,0.55,80.00,0.92,0.89,1.00,1.00
60.00,0.05,0.65,0.00,0.65,0.65,1.00,1.00
61.00,0.05,0.65,8.89,0.85,0.82,1.00,1.00
62.00,0.05,0.65,17.78,0.89,0.86,1.00,1.00
63.00,0.05,0.65,26.67,0.91,0.88,1.00,1.00
64.00,0.05,0.65,35.56,0.92,0.89,1.00,1.00
65.00,0.05,0.65,44.44,0.93,0.90,1.00,1.00
66.00,0.05,0.65,53.33,0.93,0.91,1.00,1.00
67.00,0.05,0.65,62.22,0.94,0.92,1.00,1.00
68.00,0.05,0.65,71.11,0.94,0.92,1.00,1.00
69.00,0.05,0.65,80.00,0.94,0.93,1.00,1.00
70.00,0.05,0.75,0.00,0.75,0.75,1.00,1.00
71.00,0.05,0.75,8.89,0.90,0.88,1.00,1.00
72.00,0.05,0.75,17.78,0.93,0.91,1.00,1.00
73.00,0.05,0.75,26.67,0.94,0.93,1.00,1.00
74.00,0.05,0.75,35.56,0.95,0.93,1.00,1.00
75.00,0.05,0.75,44.44,0.95,0.94,1.00,1.00
76.00,0.05,0.75,53.33,0.96,0.95,1.00,1.00
77.00,0.05,0.75,62.22,0.96,0.95,1.00,1.00
78.00,0.05,0.75,71.11,0.96,0.95,1.00,1.00
79.00,0.05,0.75,80.00,0.96,0.95,1.00,1.00
80.00,0.05,0.85,0.00,0.85,0.85,1.00,1.00
81.00,0.05,0.85,8.89,0.95,0.94,1.00,1.00
82.00,0.05,0.85,17.78,0.96,0.95,1.00,1.00
83.00,0.05,0.85,26.67,0.97,0.96,1.00,1.00
84.00,0.05,0.85,35.56,0.97,0.97,1.00,1.00
85.00,0.05,0.85,44.44,0.97,0.97,1.00,1.00
86.00,0.05,0.85,53.33,0.98,0.97,1.00,1.00
87.00,0.05,0.85,62.22,0.98,0.97,1.00,1.00
88.00,0.05,0.85,71.11,0.98,0.98,1.00,1.00
89.00,0.05,0.85,80.00,0.98,0.98,1.00,1.00
90.00,0.05,0.95,0.00,0.95,0.95,1.00,1.00
91.00,0.05,0.95,8.89,0.98,0.98,1.00,1.00
92.00,0.05,0.95,17.78,0.99,0.99,1.00,1.00
93.00,0.05,0.95,26.67,0.99,0.99,1.00,1.00
94.00,0.05,0.95,35.56,0.99,0.99,1.00,1.00
95.00,0.05,0.95,44.44,0.99,0.99,1.00,1.00
96.00,0.05,0.95,53.33,0.99,0.99,1.00,1.00
97.00,0.05,0.95,62.22,0.99,0.99,1.00,1.00
98.00,0.05,0.95,71.11,0.99,0.99,1.00,1.00
99.00,0.05,0.95,80.00,0.99,0.99,1.00,1.00
100.00,0.15,0.05,0.00,0.05,0.05,1.00,1.00
101.00,0.15,0.05,8.89,0.14,0.11,1.00,1.00
102.00,0.15,0.05,17.78,0.18,0.14,1.00,1.00
103.00,0.15,0.05,26.67,0.19,0.16,1.00,1.00
104.00,0.15,0.05,35.56,0.19,0.18,1.00,1.00
105.00,0.15,0.05,44.44,0.20,0.19,1.00,1.00
106.00,0.15,0.05,53.33,0.21,0.20,1.00,1.00
107.00,0.15,0.05,62.22,0.22,0.21,1.00,1.00
108.00,0.15,0.05,71.11,0.23,0.22,1.00,1.00
109.00,0.15,0.05,80.00,0.23,0.23,1.00,1.00
110.00,0.15,0.15,0.00,0.15,0.15,1.00,1.00
111.00,0.15,0.15,8.89,0.35,0.29,1.00,1.00
112.00,0.15,0.15,17.78,0.43,0.36,1.00,1.00
113.00,0.15,0.15,26.67,0.47,0.39,1.00,1.00
114.00,0.15,0.15,35.56,0.50,0.42,1.00,1.00
115.00,0.15,0.15,44.44,0.53,0.45,1.00,1.00
116.00,0.15,0.15,53.33,0.55,0.47,1.00,1.00
117.00,0.15,0.15,62.22,0.55,0.48,1.00,1.00
118.00,0.15,0.15,71.11,0.57,0.50,1.00,1.00
119.00,0.15,0.15,80.00,0.58,0.51,1.00,1.00
120.00,0.15,0.25,0.00,0.25,0.25,1.00,1.00
121.00,0.15,0.25,8.89,0.51,0.44,1.00,1.00
122.00,0.15,0.25,17.78,0.59,0.51,1.00,1.00
123.00,0.15,0.25,26.67,0.63,0.55,1.00,1.00
124.00,0.15,0.25,35.56,0.66,0.58,1.00,1.00
125.00,0.15,0.25,44.44,0.69,0.61,1.00,1.00
126.00,0.15,0.25,53.33,0.70,0.63,1.00,1.00
127.00,0.15,0.25,62.22,0.72,0.64,1.00,1.00
128.00,0.15,0.25,71.11,0.73,0.65,1.00,1.00
129.00,0.15,0.25,80.00,0.74,0.67,1.00,1.00
130.00,0.15,0.35,0.00,0.35,0.35,1.00,1.00
131.00,0.15,0.35,8.89,0.63,0.56,1.00,1.00
132.00,0.15,0.35,17.78,0.70,0.63,1.00,1.00
133.00,0.15,0.35,26.67,0.74,0.67,1.00,1.00
134.00,0.15,0.35,35.56,0.76,0.70,1.00,1.00
135.00,0.15,0.35,44.44,0.78,0.72,1.00,1.00
136.00,0.15,0.35,53.33,0.80,0.73,1.00,1.00
137.00,0.15,0.35,62.22,0.81,0.75,1.00,1.00
138.00,0.15,0.35,71.11,0.82,0.76,1.00,1.00
139.00,0.15,0.35,80.00,0.83,0.77,1.00,1.00
140.00,0.15,0.45,0.00,0.45,0.45,1.00,1.00
141.00,0.15,0.45,8.89,0.72,0.66,1.00,1.00
142.00,0.15,0.45,17.78,0.78,0.72,1.00,1.00
143.00,0.15,0.45,26.67,0.81,0.76,1.00,1.00
144.00,0.15,0.45,35.56,0.83,0.78,1.00,1.00
145.00,0.15,0.45,44.44,0.85,0.80,1.00,1.00
146.00,0.15,0.45,53.33,0.86,0.81,1.00,1.00
147.00,0.15,0.45,62.22,0.87,0.82,1.00,1.00
148.00,0.15,0.45,71.11,0.87,0.83,1.00,1.00
149.00,0.15,0.45,80.00,0.88,0.84,1.00,1.00
150.00,0.15,0.55,0.00,0.55,0.55,1.00,1.00
151.00,0.15,0.55,8.89,0.79,0.75,1.00,1.00
152.00,0.15,0.55,17.78,0.84,0.80,1.00,1.00
153.00,0.15,0.55,26.67,0.86,0.83,1.00,1.00
154.00,0.15,0.55,35.56,0.88,0.84,1.00,1.00
155.00,0.15,0.55,44.44,0.89,0.86,1.00,1.00
156.00,0.15,0.55,53.33,0.90,0.87,1.00,1.00
157.00,0.15,0.55,62.22,0.91,0.87,1.00,1.00
158.00,0.15,0.55,71.11,0.91,0.88,1.00,1.00
159.00,0.15,0.55,80.00,0.92,0.89,1.00,1.00
160.00,0.15,0.65,0.00,0.65,0.65,1.00,1.00
161.00,0.15,0.65,8.89,0.85,0.82,1.00,1.00
162.00,0.15,0.65,17.78,0.89,0.86,1.00,1.00
163.00,0.15,0.65,26.67,0.91,0.88,1.00,1.00
164.00,0.15,0.65,35.56,0.92,0.89,1.00,1.00
165.00,0.15,0.65,44.44,0.93,0.90,1.00,1.00
166.00,0.15,0.65,53.33,0.93,0.91,1.00,1.00
167.00,0.15,0.65,62.22,0.94,0.92,1.00,1.00
168.00,0.15,0.65,71.11,0.94,0.92,1.00,1.00
169.00,0.15,0.65,80.00,0.94,0.92,1.00,1.00
170.00,0.15,0.75,0.00,0.75,0.75,1.00,1.00
171.00,0.15,0.75,8.89,0.90,0.88,1.00,1.00
172.00,0.15,0.75,17.78,0.93,0.91,1.00,1.00
173.00,0.15,0.75,26.67,0.94,0.93,1.00,1.00
174.00,0.15,0.75,35.56,0.95,0.93,1.00,1.00
175.00,0.15,0.75,44.44,0.95,0.94,1.00,1.00
176.00,0.15,0.75,53.33,0.96,0.94,1.00,1.00
177.00,0.15,0.75,62.22,0.96,0.95,1.00,1.00
178.00,0.15,0.75,71.11,0.96,0.95,1.00,1.00
179.00,0.15,0.75,80.00,0.96,0.95,1.00,1.00
180.00,0.15,0.85,0.00,0.85,0.85,1.00,1.00
181.00,0.15,0.85,8.89,0.95,0.94,1.00,1.00
182.00,0.15,0.85,17.78,0.96,0.95,1.00,1.00
183.00,0.15,0.85,26.67,0.97,0.96,1.00,1.00
184.00,0.15,0.85,35.56,0.97,0.97,1.00,1.00
185.00,0.15,0.85,44.44,0.97,0.97,1.00,1.00
186.00,0.15,0.85,53.33,0.98,0.97,1.00,1.00
187.00,0.15,0.85,62.22,0.98,0.97,1.00,1.00
188.00,0.15,0.85,71.11,0.98,0.98,1.00,1.00
189.00,0.15,0.85,80.00,0.98,0.98,1.00,1.00
190.00,0.15,0.95,0.00,0.95,0.95,1.00,1.00
191.00,0.15,0.95,8.89,0.98,0.98,1.00,1.00
192.00,0.15,0.95,17.78,0.99,0.99,1.00,1.00
193.00,0.15,0.95,26.67,0.99,0.99,1.00,1.00
194.00,0.15,0.95,35.56,1.01,0.99,1.00,1.00
195.00,0.15,0.95,44.44,0.99,0.99,1.00,1.00
196.00,0.15,0.95,53.33,0.99,0.99,1.00,1.00
197.00,0.15,0.95,62.22,0.99,0.99,1.00,1.00
198.00,0.15,0.95,71.11,0.99,0.99,1.00,1.00
199.00,0.15,0.95,80.00,0.99,0.99,1.00,1.00
200.00,0.25,0.05,0.00,0.05,0.05,1.00,1.00
201.00,0.25,0.05,8.89,0.12,0.11,1.00,1.00
202.00,0.25,0.05,17.78,0.12,0.13,1.00,1.00
203.00,0.25,0.05,26.67,0.14,0.15,1.00,1.00
204.00,0.25,0.05,35.56,0.15,0.17,1.00,1.00
205.00,0.25,0.05,44.44,0.16,0.18,1.00,1.00
206.00,0.25,0.05,53.33,0.17,0.19,1.00,1.00
207.00,0.25,0.05,62.22,0.18,0.20,1.00,1.00
208.00,0.25,0.05,71.11,0.19,0.21,1.00,1.00
209.00,0.25,0.05,80.00,0.21,0.22,1.00,1.00
210.00,0.25,0.15,0.00,0.15,0.15,1.00,1.00
211.00,0.25,0.15,8.89,0.34,0.29,1.00,1.00
212.00,0.25,0.15,17.78,0.38,0.35,1.00,1.00
213.00,0.25,0.15,26.67,0.42,0.39,1.00,1.00
214.00,0.25,0.15,35.56,0.46,0.41,1.00,1.00
215.00,0.25,0.15,44.44,0.49,0.44,1.00,1.00
216.00,0.25,0.15,53.33,0.52,0.46,1.00,1.00
217.00,0.25,0.15,62.22,0.55,0.47,1.00,1.00
218.00,0.25,0.15,71.11,0.57,0.49,1.00,1.00
219.00,0.25,0.15,80.00,0.59,0.50,1.00,1.00
220.00,0.25,0.25,0.00,0.25,0.25,1.00,1.00
221.00,0.25,0.25,8.89,0.50,0.44,1.00,1.00
222.00,0.25,0.25,17.78,0.57,0.51,1.00,1.00
223.00,0.25,0.25,26.67,0.61,0.55,1.00,1.00
224.00,0.25,0.25,35.56,0.65,0.58,1.00,1.00
225.00,0.25,0.25,44.44,0.68,0.60,1.00,1.00
226.00,0.25,0.25,53.33,0.70,0.62,1.00,1.00
227.00,0.25,0.25,62.22,0.72,0.63,1.00,1.00
228.00,0.25,0.25,71.11,0.74,0.65,1.00,1.00
229.00,0.25,0.25,80.00,0.75,0.66,1.00,1.00
230.00,0.25,0.35,0.00,0.35,0.35,1.00,1.00
231.00,0.25,0.35,8.89,0.62,0.56,1.00,1.00
232.00,0.25,0.35,17.78,0.69,0.63,1.00,1.00
233.00,0.25,0.35,26.67,0.73,0.66,1.00,1.00
234.00,0.25,0.35,35.56,0.75,0.69,1.00,1.00
235.00,0.25,0.35,44.44,0.77,0.71,1.00,1.00
236.00,0.25,0.35,53.33,0.79,0.73,1.00,1.00
237.00,0.25,0.35,62.22,0.80,0.74,1.00,1.00
238.00,0.25,0.35,71.11,0.80,0.75,1.00,1.00
239.00,0.25,0.35,80.00,0.81,0.76,1.00,1.00
240.00,0.25,0.45,0.00,0.45,0.45,1.00,1.00
241.00,0.25,0.45,8.89,0.72,0.66,1.00,1.00
242.00,0.25,0.45,17.78,0.78,0.72,1.00,1.00
243.00,0.25,0.45,26.67,0.81,0.75,1.00,1.00
244.00,0.25,0.45,35.56,0.83,0.78,1.00,1.00
245.00,0.25,0.45,44.44,0.84,0.79,1.00,1.00
246.00,0.25,0.45,53.33,0.85,0.81,1.00,1.00
247.00,0.25,0.45,62.22,0.86,0.82,1.00,1.00
248.00,0.25,0.45,71.11,0.87,0.83,1.00,1.00
249.00,0.25,0.45,80.00,0.88,0.83,1.00,1.00
250.00,0.25,0.55,0.00,0.55,0.55,1.00,1.00
251.00,0.25,0.55,8.89,0.79,0.75,1.00,1.00
252.00,0.25,0.55,17.78,0.84,0.80,1.00,1.00
253.00,0.25,0.55,26.67,0.86,0.82,1.00,1.00
254.00,0.25,0.55,35.56,0.88,0.84,1.00,1.00
255.00,0.25,0.55,44.44,0.89,0.85,1.00,1.00
256.00,0.25,0.55,53.33,0.90,0.86,1.00,1.00
257.00,0.25,0.55,62.22,0.90,0.87,1.00,1.00
258.00,0.25,0.55,71.11,0.91,0.88,1.00,1.00
259.00,0.25,0.55,80.00,0.91,0.88,1.00,1.00
260.00,0.25,0.65,0.00,0.65,0.65,1.00,1.00
261.00,0.25,0.65,8.89,0.85,0.82,1.00,1.00
262.00,0.25,0.65,17.78,0.89,0.86,1.00,1.00
263.00,0.25,0.65,26.67,0.91,0.88,1.00,1.00
264.00,0.25,0.65,35.56,0.92,0.89,1.00,1.00
265.00,0.25,0.65,44.44,0.92,0.90,1.00,1.00
266.00,0.25,0.65,53.33,0.93,0.91,1.00,1.00
267.00,0.25,0.65,62.22,0.94,0.91,1.00,1.00
268.00,0.25,0.65,71.11,0.94,0.92,1.00,1.00
269.00,0.25,0.65,80.00,0.94,0.92,1.00,1.00
270.00,0.25,0.75,0.00,0.75,0.75,1.00,1.00
271.00,0.25,0.75,8.89,0.90,0.88,1.00,1.00
272.00,0.25,0.75,17.78,0.93,0.91,1.00,1.00
273.00,0.25,0.75,26.67,0.94,0.92,1.00,1.00
274.00,0.25,0.75,35.56,0.95,0.93,1.00,1.00
275.00,0.25,0.75,44.44,0.95,0.94,1.00,1.00
276.00,0.25,0.75,53.33,0.96,0.94,1.00,1.00
277.00,0.25,0.75,62.22,0.96,0.95,1.00,1.00
278.00,0.25,0.75,71.11,0.96,0.95,1.00,1.00
279.00,0.25,0.75,80.00,0.96,0.95,1.00,1.00
280.00,0.25,0.85,0.00,0.85,0.85,1.00,1.00
281.00,0.25,0.85,8.89,0.95,0.94,1.00,1.00
282.00,0.25,0.85,17.78,0.96,0.95,1.00,1.00
283.00,0.25,0.85,26.67,0.97,0.96,1.00,1.00
284.00,0.25,0.85,35.56,0.97,0.97,1.00,1.00
285.00,0.25,0.85,44.44,0.97,0.97,1.00,1.00
286.00,0.25,0.85,53.33,0.98,0.97,1.00,1.00
287.00,0.25,0.85,62.22,0.98,0.97,1.00,1.00
288.00,0.25,0.85,71.11,0.98,0.97,1.00,1.00
289.00,0.25,0.85,80.00,0.98,0.98,1.00,1.00
290.00,0.25,0.95,0.00,0.95,0.95,1.00,1.00
291.00,0.25,0.95,8.89,0.98,0.98,1.00,1.00
292.00,0.25,0.95,17.78,0.99,0.99,1.00,1.00
293.00,0.25,0.95,26.67,0.99,0.99,1.00,1.00
294.00,0.25,0.95,35.56,0.99,0.99,1.00,1.00
295.00,0.25,0.95,44.44,0.99,0.99,1.00,1.00
296.00,0.25,0.95,53.33,0.99,0.99,1.00,1.00
297.00,0.25,0.95,62.22,0.99,0.99,1.00,1.00
298.00,0.25,0.95,71.11,0.99,0.99,1.00,1.00
299.00,0.25,0.95,80.00,0.99,0.99,1.00,1.00
300.00,0.35,0.05,0.00,0.05,0.05,1.00,1.00
301.00,0.35,0.05,8.89,0.09,0.10,1.00,1.00
302.00,0.35,0.05,17.78,0.10,0.13,1.00,1.00
303.00,0.35,0.05,26.67,0.12,0.15,1.00,1.00
304.00,0.35,0.05,35.56,0.13,0.16,1.00,1.00
305.00,0.35,0.05,44.44,0.15,0.18,1.00,1.00
306.00,0.35,0.05,53.33,0.16,0.19,1.00,1.00
307.00,0.35,0.05,62.22,0.18,0.20,1.00,1.00
308.00,0.35,0.05,71.11,0.19,0.21,1.00,1.00
309.00,0.35,0.05,80.00,0.20,0.22,1.00,1.00
310.00,0.35,0.15,0.00,0.15,0.15,1.00,1.00
311.00,0.35,0.15,8.89,0.29,0.29,1.00,1.00
312.00,0.35,0.15,17.78,0.36,0.34,1.00,1.00
313.00,0.35,0.15,26.67,0.41,0.38,1.00,1.00
314.00,0.35,0.15,35.56,0.46,0.41,1.00,1.00
315.00,0.35,0.15,44.44,0.49,0.43,1.00,1.00
316.00,0.35,0.15,53.33,0.53,0.45,1.00,1.00
317.00,0.35,0.15,62.22,0.55,0.46,1.00,1.00
318.00,0.35,0.15,71.11,0.58,0.48,1.00,1.00
319.00,0.35,0.15,80.00,0.60,0.49,1.00,1.00
320.00,0.35,0.25,0.00,0.25,0.25,1.00,1.00
321.00,0.35,0.25,8.89,0.47,0.43,1.00,1.00
322.00,0.35,0.25,17.78,0.56,0.50,1.00,1.00
323.00,0.35,0.25,26.67,0.62,0.54,1.00,1.00
324.00,0.35,0.25,35.56,0.66,0.57,1.00,1.00
325.00,0.35,0.25,44.44,0.70,0.59,1.00,1.00
326.00,0.35,0.25,53.33,0.72,0.61,1.00,1.00
327.00,0.35,0.25,62.22,0.74,0.63,1.00,1.00
328.00,0.35,0.25,71.11,0.76,0.64,1.00,1.00
329.00,0.35,0.25,80.00,0.78,0.65,1.00,1.00
330.00,0.35,0.35,0.00,0.35,0.35,1.00,1.00
331.00,0.35,0.35,8.89,0.60,0.56,1.00,1.00
332.00,0.35,0.35,17.78,0.69,0.62,1.00,1.00
